time symbol vwap
6:00:00 A 73.36
6:00:00 AA 53.09
6:00:00 AABA 78.88
6:00:00 AAC 9.11
6:00:00 AAL 52.8
6:00:00 AAN 41.92
6:00:00 AAOI 32.9
6:00:00 AAON 36.0
6:00:00 AAP 118.79
6:00:00 AAPL 166.65
6:00:00 AAT 34.86
6:00:00 AAV 3.32
6:00:00 AAWW 57.95
6:00:00 AAXJ 81.23
6:00:00 AAXN 27.26
6:00:00 ABAX 75.25
6:00:00 ABB 27.98
6:00:00 ABBV 118.78
6:00:00 ABC 103.09
6:00:00 ABCB 55.34
6:00:00 ABCD 7.09
6:00:00 ABEO 15.9
6:00:00 ABEV 6.82
6:00:00 ABG 74.45
6:00:00 ABIO 1.78
6:00:00 ABLX 54.05
6:00:00 ABM 38.42
6:00:00 ABMD 235.7
6:00:00 ABR 8.3
6:00:00 ABT 62.76
6:00:00 ABTX 40.75
6:00:00 ABX 14.31
6:00:00 ACAD 31.37
6:00:00 ACBI 17.34
6:00:00 ACC 38.07
6:00:00 ACCO 12.05
6:00:00 ACER 19.23
6:00:00 ACET 11.53
6:00:00 ACFC 10.6
6:00:00 ACGL 91.01
6:00:00 ACGLO 24.37
6:00:00 ACGLP 23.23
6:00:00 ACH 17.55
6:00:00 ACHC 34.56
6:00:00 ACHN 2.78
6:00:00 ACHV 1.62
6:00:00 ACIA 35.68
6:00:00 ACIU 13.36
6:00:00 ACIW 23.11
6:00:00 ACLS 26.42
6:00:00 ACM 39.2
6:00:00 ACN 160.22
6:00:00 ACNB 30.36
6:00:00 ACOR 26.82
6:00:00 ACP 14.37
6:00:00 ACRS 23.19
6:00:00 ACRX 1.98
6:00:00 ACST 1.16
6:00:00 ACTA 15.57
6:00:00 ACU 24.02
6:00:00 ACWI 76.24
6:00:00 ACWV 87.04
6:00:00 ACWX 52.72
6:00:00 ACXM 27.53
6:00:00 ADAP 9.01
6:00:00 ADBE 196.8
6:00:00 ADC 47.73
6:00:00 ADES 8.18
6:00:00 ADI 92.1
6:00:00 ADM 42.6
6:00:00 ADMA 3.89
6:00:00 ADMP 3.68
6:00:00 ADMS 39.87
6:00:00 ADNT 65.25
6:00:00 ADOM 1.66
6:00:00 ADP 120.48
6:00:00 ADRE 47.56
6:00:00 ADRO 6.9
6:00:00 ADS 257.01
6:00:00 ADSK 114.9
6:00:00 ADSW 24.26
6:00:00 ADT 12.2
6:00:00 ADTN 16.12
6:00:00 ADUS 36.15
6:00:00 ADVM 7.63
6:00:00 ADXS 3.04
6:00:00 AEB 24.15
6:00:00 AEE 56.02
6:00:00 AEG 6.9
6:00:00 AEGN 25.3
6:00:00 AEIS 73.76
6:00:00 AEK 26.35
6:00:00 AEL 34.6
6:00:00 AEM 47.48
6:00:00 AEMD 1.63
6:00:00 AEO 18.28
6:00:00 AEP 68.49
6:00:00 AER 54.41
6:00:00 AERI 56.88
6:00:00 AES 11.62
6:00:00 AET 189.29
6:00:00 AEZS 2.26
6:00:00 AFAM 58.67
6:00:00 AFG 113.23
6:00:00 AFH 20.26
6:00:00 AFI 15.81
6:00:00 AFL 88.86
6:00:00 AFMD 1.35
6:00:00 AFSI 12.93
6:00:00 AFST 24.5
6:00:00 AG 6.22
6:00:00 AGCO 72.53
6:00:00 AGEN 3.69
6:00:00 AGG 108.06
6:00:00 AGI 5.99
6:00:00 AGII 62.35
6:00:00 AGIIL 25.32
6:00:00 AGIO 81.33
6:00:00 AGLE 6.77
6:00:00 AGM 81.03
6:00:00 AGN 184.92
6:00:00 AGNC 19.05
6:00:00 AGNCB 25.7
6:00:00 AGNCN 25.39
6:00:00 AGO 35.98
6:00:00 AGO-F 24.22
6:00:00 AGR 48.15
6:00:00 AGRO 9.94
6:00:00 AGRX 3.33
6:00:00 AGS 18.58
6:00:00 AGTC 5.07
6:00:00 AGYS 12.19
6:00:00 AHGP 28.82
6:00:00 AHH 14.43
6:00:00 AHL 37.83
6:00:00 AHP 9.25
6:00:00 AHPA 10.0
6:00:00 AHT 6.47
6:00:00 AHT-G 23.44
6:00:00 AI 10.85
6:00:00 AIA 70.9
6:00:00 AIF 15.55
6:00:00 AIG 63.58
6:00:00 AIG+ 21.55
6:00:00 AIMC 52.9
6:00:00 AIMT 36.01
6:00:00 AIN 63.2
6:00:00 AINV 5.74
6:00:00 AIR 40.1
6:00:00 AIRG 10.31
6:00:00 AIT 74.17
6:00:00 AIV 41.03
6:00:00 AIZ 93.14
6:00:00 AJG 69.63
6:00:00 AJRD 27.66
6:00:00 AKAM 67.0
6:00:00 AKAO 12.51
6:00:00 AKBA 15.49
6:00:00 AKCA 23.29
6:00:00 AKER 0.25
6:00:00 AKG 0.93
6:00:00 AKO.B 28.66
6:00:00 AKR 24.64
6:00:00 AKRX 32.28
6:00:00 AKS 5.68
6:00:00 AKTS 5.85
6:00:00 AKTX 3.13
6:00:00 AL 48.86
6:00:00 ALB 112.09
6:00:00 ALBO 38.44
6:00:00 ALCO 26.9
6:00:00 ALDR 14.51
6:00:00 ALDW 16.71
6:00:00 ALDX 7.61
6:00:00 ALE 71.94
6:00:00 ALEX 27.05
6:00:00 ALG 116.62
6:00:00 ALGN 268.49
6:00:00 ALGT 159.77
6:00:00 ALK 64.47
6:00:00 ALKS 58.74
6:00:00 ALL 98.83
6:00:00 ALL-F 25.92
6:00:00 ALLE 86.21
6:00:00 ALLT 4.95
6:00:00 ALLY 30.36
6:00:00 ALLY-A 25.98
6:00:00 ALNY 132.15
6:00:00 ALO 3.23
6:00:00 ALOG 84.62
6:00:00 ALQA 2.1
6:00:00 ALRM 37.81
6:00:00 ALRN 9.26
6:00:00 ALSK 2.19
6:00:00 ALSN 44.08
6:00:00 ALT 1.92
6:00:00 ALTR 25.67
6:00:00 ALV 148.54
6:00:00 ALX 360.2
6:00:00 ALXN 124.31
6:00:00 AM 30.9
6:00:00 AMAG 14.68
6:00:00 AMAT 53.6
6:00:00 AMBA 50.8
6:00:00 AMBC 16.34
6:00:00 AMC 12.58
6:00:00 AMCX 53.56
6:00:00 AMD 13.08
6:00:00 AME 76.99
6:00:00 AMED 54.47
6:00:00 AMG 206.34
6:00:00 AMGN 192.49
6:00:00 AMGP 21.42
6:00:00 AMH 20.03
6:00:00 AMH-G 24.01
6:00:00 AMID 14.7
6:00:00 AMJ 29.36
6:00:00 AMKR 10.23
6:00:00 AMLP 11.49
6:00:00 AMMA 0.84
6:00:00 AMN 53.8
6:00:00 AMNB 37.8
6:00:00 AMOT 34.77
6:00:00 AMP 173.99
6:00:00 AMPE 2.82
6:00:00 AMPH 19.13
6:00:00 AMRK 13.49
6:00:00 AMRN 3.81
6:00:00 AMRS 5.09
6:00:00 AMSC 5.08
6:00:00 AMSF 61.38
6:00:00 AMSWA 12.78
6:00:00 AMT 144.41
6:00:00 AMTD 55.89
6:00:00 AMU 18.39
6:00:00 AMWD 135.78
6:00:00 AMX 18.49
6:00:00 AMZA 8.6
6:00:00 AMZN 1426.26
6:00:00 AN 60.72
6:00:00 ANAB 108.0
6:00:00 ANAT 128.07
6:00:00 ANCX 28.9
6:00:00 ANDE 34.4
6:00:00 ANDV 109.07
6:00:00 ANDX 51.76
6:00:00 ANET 275.3
6:00:00 ANF 21.33
6:00:00 ANFI 4.17
6:00:00 ANGI 13.58
6:00:00 ANGL 30.18
6:00:00 ANGO 17.2
6:00:00 ANH 4.98
6:00:00 ANIK 67.86
6:00:00 ANIP 68.74
6:00:00 ANSS 161.56
6:00:00 ANTM 243.94
6:00:00 AOBC 11.95
6:00:00 AOD 9.93
6:00:00 AOI 13.0
6:00:00 AON 141.6
6:00:00 AOS 65.92
6:00:00 AOSL 16.9
6:00:00 APA 44.82
6:00:00 APAM 40.35
6:00:00 APC 59.53
6:00:00 APD 166.46
6:00:00 APDN 1.51
6:00:00 APEN 6.06
6:00:00 APH 92.67
6:00:00 APHB 1.23
6:00:00 APLE 19.56
6:00:00 APLP 13.64
6:00:00 APLS 16.15
6:00:00 APO 35.71
6:00:00 APOG 46.11
6:00:00 APOP 8.48
6:00:00 APOPW 2.11
6:00:00 APPN 30.27
6:00:00 APPS 2.07
6:00:00 APRI 2.46
6:00:00 APT 3.85
6:00:00 APTI 25.64
6:00:00 APTO 3.02
6:00:00 APTS 16.43
6:00:00 APTV 94.54
6:00:00 APU 47.22
6:00:00 AQ 12.95
6:00:00 AQUA 23.43
6:00:00 AQXP 13.12
6:00:00 AR 19.11
6:00:00 ARA 19.02
6:00:00 ARAY 5.56
6:00:00 ARC 2.42
6:00:00 ARCB 36.48
6:00:00 ARCC 16.03
6:00:00 ARCH 91.67
6:00:00 ARCT 8.54
6:00:00 ARD 20.0
6:00:00 ARDM 1.5
6:00:00 ARE 123.84
6:00:00 ARES-A 25.88
6:00:00 AREX 3.25
6:00:00 ARGS 2.52
6:00:00 ARGT 37.43
6:00:00 ARGX 79.9
6:00:00 ARI 18.36
6:00:00 ARII 39.78
6:00:00 ARKK 41.71
6:00:00 ARLP 20.61
6:00:00 ARLZ 1.72
6:00:00 ARMK 45.43
6:00:00 ARMO 30.08
6:00:00 ARNA 36.61
6:00:00 ARNC 29.66
6:00:00 AROC 9.65
6:00:00 ARQL 1.74
6:00:00 ARR 23.84
6:00:00 ARRS 25.1
6:00:00 ARRY 14.29
6:00:00 ARTNA 37.7
6:00:00 ARTX 3.67
6:00:00 ARW 82.62
6:00:00 ARWR 6.1
6:00:00 ASB 25.2
6:00:00 ASC 7.08
6:00:00 ASCMA 10.03
6:00:00 ASFI 7.15
6:00:00 ASGN 69.12
6:00:00 ASH 72.63
6:00:00 ASHR 33.63
6:00:00 ASIX 40.37
6:00:00 ASMB 49.84
6:00:00 ASML 202.25
6:00:00 ASNA 2.16
6:00:00 ASND 53.0
6:00:00 ASNS 13.7
6:00:00 ASPS 30.56
6:00:00 ASR 193.82
6:00:00 ASRV 4.2
6:00:00 ASTC 3.49
6:00:00 ASTE 63.04
6:00:00 ASUR 15.11
6:00:00 ASYS 10.28
6:00:00 AT 2.17
6:00:00 ATEC 3.38
6:00:00 ATGE 45.95
6:00:00 ATH 50.78
6:00:00 ATHM 81.16
6:00:00 ATHN 129.77
6:00:00 ATHX 1.81
6:00:00 ATI 27.89
6:00:00 ATKR 23.9
6:00:00 ATLO 28.65
6:00:00 ATNM 0.73
6:00:00 ATNX 14.98
6:00:00 ATO 82.78
6:00:00 ATOS 0.5
6:00:00 ATR 87.39
6:00:00 ATRA 39.76
6:00:00 ATRC 16.67
6:00:00 ATRS 2.27
6:00:00 ATSG 25.07
6:00:00 ATTO 9.75
6:00:00 ATU 25.05
6:00:00 ATUS 21.81
6:00:00 ATVI 71.34
6:00:00 ATXI 3.81
6:00:00 AU 11.05
6:00:00 AUDC 7.66
6:00:00 AUO 4.87
6:00:00 AUPH 5.44
6:00:00 AUTO 8.32
6:00:00 AUY 3.4
6:00:00 AVA 51.03
6:00:00 AVAV 51.41
6:00:00 AVB 167.16
6:00:00 AVD 21.2
6:00:00 AVDL 11.4
6:00:00 AVEO 3.04
6:00:00 AVGO 243.31
6:00:00 AVGR 0.18
6:00:00 AVH 8.12
6:00:00 AVHI 17.45
6:00:00 AVID 5.43
6:00:00 AVIR 0.6
6:00:00 AVNW 16.98
6:00:00 AVP 2.45
6:00:00 AVT 42.98
6:00:00 AVX 18.1
6:00:00 AVXL 2.92
6:00:00 AVXS 120.59
6:00:00 AVY 117.95
6:00:00 AVYA 20.23
6:00:00 AWF 12.46
6:00:00 AWI 63.25
6:00:00 AWK 83.52
6:00:00 AWP 6.64
6:00:00 AWR 55.93
6:00:00 AXAS 2.33
6:00:00 AXE 85.41
6:00:00 AXGN 27.32
6:00:00 AXL 17.84
6:00:00 AXON 2.03
6:00:00 AXP 99.89
6:00:00 AXS 50.59
6:00:00 AXSM 2.74
6:00:00 AXTA 31.03
6:00:00 AXTI 8.26
6:00:00 AY 20.98
6:00:00 AYI 161.0
6:00:00 AYTU 3.07
6:00:00 AYX 29.76
6:00:00 AZN 35.86
6:00:00 AZO 782.43
6:00:00 AZPN 78.8
6:00:00 AZRX 3.27
6:00:00 AZUL 28.3
6:00:00 B 66.19
6:00:00 BA 337.09
6:00:00 BABA 201.19
6:00:00 BABY 31.7
6:00:00 BAC 32.03
6:00:00 BAC+B 3.47
6:00:00 BAK 31.16
6:00:00 BAM 40.9
6:00:00 BANC 19.68
6:00:00 BAND 23.65
6:00:00 BANR 54.5
6:00:00 BAP 235.99
6:00:00 BAS 19.36
6:00:00 BATRA 24.1
6:00:00 BATRK 24.06
6:00:00 BAX 71.93
6:00:00 BB 12.64
6:00:00 BBBY 22.61
6:00:00 BBC 33.55
6:00:00 BBD 12.41
6:00:00 BBG 4.92
6:00:00 BBGI 13.25
6:00:00 BBH 133.35
6:00:00 BBL 44.31
6:00:00 BBOX 3.68
6:00:00 BBRG 2.98
6:00:00 BBSI 70.27
6:00:00 BBT 55.48
6:00:00 BBU 39.04
6:00:00 BBVA 9.39
6:00:00 BBY 76.08
6:00:00 BC 63.21
6:00:00 BCBP 15.15
6:00:00 BCE 46.53
6:00:00 BCEI 27.79
6:00:00 BCLI 3.61
6:00:00 BCO 84.17
6:00:00 BCPC 80.77
6:00:00 BCRX 4.59
6:00:00 BCS 11.39
6:00:00 BCX 9.9
6:00:00 BDC 85.72
6:00:00 BDCL 15.37
6:00:00 BDGE 35.12
6:00:00 BDJ 9.51
6:00:00 BDN 17.46
6:00:00 BDR 0.66
6:00:00 BDSI 2.42
6:00:00 BDX 243.84
6:00:00 BDXA 62.9
6:00:00 BEAT 35.0
6:00:00 BECN 61.66
6:00:00 BEDU 20.66
6:00:00 BELFB 21.35
6:00:00 BEN 43.14
6:00:00 BEP 32.88
6:00:00 BERY 59.05
6:00:00 BF.B 68.59
6:00:00 BFAM 96.78
6:00:00 BFIN 15.81
6:00:00 BFR 24.78
6:00:00 BFS 55.21
6:00:00 BFS-C 25.13
6:00:00 BFS-D 24.52
6:00:00 BG 79.79
6:00:00 BGCP 14.48
6:00:00 BGFV 5.89
6:00:00 BGG 24.74
6:00:00 BGNE 123.45
6:00:00 BGR 14.91
6:00:00 BGS 33.32
6:00:00 BGY 6.64
6:00:00 BHB 27.89
6:00:00 BHBK 19.55
6:00:00 BHE 28.42
6:00:00 BHF 64.99
6:00:00 BHGE 30.87
6:00:00 BHP 49.08
6:00:00 BHV 16.32
6:00:00 BHVN 32.49
6:00:00 BIB 67.29
6:00:00 BICK 32.73
6:00:00 BID 53.38
6:00:00 BIDU 244.76
6:00:00 BIG 62.91
