time symbol vwap
9:00:00 A 73.2
9:00:00 AA 53.09
9:00:00 AABA 78.35
9:00:00 AAL 52.61
9:00:00 AAN 42.05
9:00:00 AAOI 32.86
9:00:00 AAON 35.95
9:00:00 AAP 118.88
9:00:00 AAPL 166.3
9:00:00 AAT 34.84
9:00:00 AAU 0.87
9:00:00 AAV 3.32
9:00:00 AAWW 56.74
9:00:00 AAXJ 81.3
9:00:00 AAXN 27.32
9:00:00 AB 27.45
9:00:00 ABAX 74.09
9:00:00 ABB 28.0
9:00:00 ABBV 116.51
9:00:00 ABC 103.11
9:00:00 ABCB 55.25
9:00:00 ABCD 7.1
9:00:00 ABEO 15.59
9:00:00 ABEV 6.83
9:00:00 ABLX 54.05
9:00:00 ABM 38.29
9:00:00 ABMD 234.81
9:00:00 ABR 8.24
9:00:00 ABT 62.46
9:00:00 ABTX 40.62
9:00:00 ABUS 5.18
9:00:00 ABX 14.24
9:00:00 AC 34.9
9:00:00 ACAD 30.85
9:00:00 ACBI 17.54
9:00:00 ACC 38.29
9:00:00 ACCO 11.98
9:00:00 ACET 11.54
9:00:00 ACFC 10.56
9:00:00 ACGL 91.17
9:00:00 ACGLO 24.23
9:00:00 ACGLP 23.1
9:00:00 ACHC 34.45
9:00:00 ACHN 2.78
9:00:00 ACHV 1.6
9:00:00 ACIA 35.34
9:00:00 ACIU 13.42
9:00:00 ACIW 22.96
9:00:00 ACLS 26.34
9:00:00 ACM 39.15
9:00:00 ACMR 5.26
9:00:00 ACN 160.17
9:00:00 ACNB 30.25
9:00:00 ACOR 26.55
9:00:00 ACRS 22.51
9:00:00 ACRX 1.98
9:00:00 ACST 1.15
9:00:00 ACTA 15.58
9:00:00 ACU 24.41
9:00:00 ACWI 76.17
9:00:00 ACWV 86.93
9:00:00 ACWX 52.72
9:00:00 ACXM 27.57
9:00:00 ADAP 8.97
9:00:00 ADBE 196.92
9:00:00 ADC 47.83
9:00:00 ADES 8.16
9:00:00 ADI 91.72
9:00:00 ADM 42.64
9:00:00 ADMA 3.81
9:00:00 ADMS 39.5
9:00:00 ADNT 66.25
9:00:00 ADOM 1.66
9:00:00 ADP 120.78
9:00:00 ADRA 37.37
9:00:00 ADRD 24.82
9:00:00 ADRE 47.6
9:00:00 ADRO 6.72
9:00:00 ADS 255.9
9:00:00 ADSK 114.91
9:00:00 ADT 12.12
9:00:00 ADTN 16.11
9:00:00 ADUS 36.02
9:00:00 ADVM 8.15
9:00:00 ADX 15.82
9:00:00 ADXS 3.04
9:00:00 AED 25.58
9:00:00 AEE 56.17
9:00:00 AEG 6.88
9:00:00 AEGN 25.19
9:00:00 AEH 25.56
9:00:00 AEIS 72.47
9:00:00 AEL 34.11
9:00:00 AEM 47.21
9:00:00 AEMD 1.58
9:00:00 AEO 18.29
9:00:00 AEP 68.61
9:00:00 AER 54.41
9:00:00 AERI 56.88
9:00:00 AES 11.7
9:00:00 AET 189.02
9:00:00 AETI 1.45
9:00:00 AEY 1.48
9:00:00 AEZS 2.25
9:00:00 AFAM 58.4
9:00:00 AFG 113.54
9:00:00 AFI 15.85
9:00:00 AFL 88.73
9:00:00 AFSI 13.0
9:00:00 AFSI-E 19.36
9:00:00 AFSI-F 18.58
9:00:00 AG 6.05
9:00:00 AGCO 72.83
9:00:00 AGEN 3.66
9:00:00 AGFS 7.56
9:00:00 AGG 107.95
9:00:00 AGGY 50.02
9:00:00 AGI 5.98
9:00:00 AGII 61.8
9:00:00 AGIO 80.68
9:00:00 AGLE 7.12
9:00:00 AGM 80.88
9:00:00 AGN 184.49
9:00:00 AGNC 19.07
9:00:00 AGNCN 25.21
9:00:00 AGO 35.94
9:00:00 AGQ 34.53
9:00:00 AGR 48.33
9:00:00 AGRO 9.8
9:00:00 AGRX 3.29
9:00:00 AGS 19.27
9:00:00 AGTC 5.05
9:00:00 AGYS 12.14
9:00:00 AHGP 28.64
9:00:00 AHH 14.34
9:00:00 AHL 37.76
9:00:00 AHL-C 25.87
9:00:00 AHP 9.26
9:00:00 AHT 6.46
9:00:00 AI 10.79
