time symbol vwap
11:00:00 AABA 78.27
11:00:00 AAL 52.86
11:00:00 AAPL 167.0
11:00:00 ABBV 116.36
11:00:00 ABT 62.45
11:00:00 ADVM 8.1
11:00:00 AET 187.75
11:00:00 AKP 13.23
11:00:00 AKS 5.45
11:00:00 ALGN 284.78
11:00:00 ALLY 30.61
11:00:00 ALXN 122.14
11:00:00 AMD 12.66
11:00:00 AMGN 191.33
11:00:00 AMRN 3.82
11:00:00 AMZN 1438.0
11:00:00 ANET 275.9
11:00:00 APLE 19.51
11:00:00 APPN 30.01
11:00:00 ARCB 36.0
11:00:00 ARGS 2.21
11:00:00 ARNA 37.99
11:00:00 ASML 200.25
11:00:00 ATNX 14.93
11:00:00 ATRA 40.35
11:00:00 ATVI 72.06
11:00:00 AVGR 0.17
11:00:00 AVXS 124.56
11:00:00 AXP 98.74
11:00:00 AZRX 3.96
11:00:00 BA 337.65
11:00:00 BABA 199.76
11:00:00 BBBY 22.97
11:00:00 BGFV 5.6
11:00:00 BIIB 352.05
11:00:00 BIP 42.83
11:00:00 BK 56.67
11:00:00 BMRN 90.13
11:00:00 BNJ 14.03
11:00:00 BNSO 3.59
11:00:00 BP 42.67
11:00:00 BPK 14.93
11:00:00 BRK.B 214.55
11:00:00 BTG 3.0
11:00:00 BURG 3.85
11:00:00 CA 35.16
11:00:00 CACC 350.0
11:00:00 CAT 163.94
11:00:00 CB 149.89
11:00:00 CBI 20.99
11:00:00 CBOE 132.7
11:00:00 CC 52.09
11:00:00 CCIH 1.83
11:00:00 CCS 31.7
11:00:00 CDK 71.94
11:00:00 CDW 75.01
11:00:00 CERS 4.59
11:00:00 CHRW 94.0
11:00:00 CIFS 39.77
11:00:00 CMCSA 42.39
11:00:00 CRBP 8.2
11:00:00 CREE 34.33
11:00:00 CRM 112.06
11:00:00 CRZO 20.33
11:00:00 CSCO 42.07
11:00:00 CTRL 28.32
11:00:00 CVS 80.02
11:00:00 CYTX 0.44
11:00:00 DFS 79.54
11:00:00 DHI 49.16
11:00:00 DIA 260.77
11:00:00 DIS 110.27
11:00:00 DLTR 114.64
11:00:00 DRYS 3.27
11:00:00 DUST 22.51
11:00:00 EA 123.86
11:00:00 EAT 36.91
11:00:00 EDIT 39.31
11:00:00 EEM 50.58
11:00:00 EFA 73.95
11:00:00 EPI 28.79
11:00:00 EQT 54.81
11:00:00 ESRX 79.05
11:00:00 ETFC 52.3
11:00:00 EWJ 63.3
11:00:00 EWW 52.66
11:00:00 EWZ 46.28
11:00:00 EXPE 128.9
11:00:00 EXTR 15.1
11:00:00 FB 187.13
11:00:00 FCX 19.21
11:00:00 FFIV 140.53
11:00:00 FITB 33.04
11:00:00 FLIR 51.7
11:00:00 FORD 2.44
11:00:00 FRO 4.52
11:00:00 FRPH 49.4
11:00:00 FXI 52.0
11:00:00 GD 224.9
11:00:00 GDX 23.47
11:00:00 GDXJ 33.16
11:00:00 GF 20.1
11:00:00 GGM 22.22
11:00:00 GILD 87.48
11:00:00 GLD 126.84
11:00:00 GLW 32.35
11:00:00 GOOG 1163.52
11:00:00 GOOGL 1176.7
11:00:00 GS 269.04
11:00:00 HAWK 45.3
11:00:00 HBAN 16.08
11:00:00 HCA 101.85
11:00:00 HD 201.68
11:00:00 HES 50.26
11:00:00 HII 242.77
11:00:00 HIMX 8.53
11:00:00 HOG 50.99
11:00:00 HSY 109.58
11:00:00 HUM 281.61
11:00:00 IBB 116.27
11:00:00 IBM 163.37
11:00:00 IEMG 60.99
11:00:00 IJH 195.58
11:00:00 ILMN 243.21
11:00:00 IMMR 11.38
11:00:00 IMMY 1.93
11:00:00 IMNP 0.61
11:00:00 IMRN 8.29
11:00:00 INDA 37.18
11:00:00 INTC 48.8
11:00:00 INTU 168.5
11:00:00 IRBT 87.61
11:00:00 ISRG 428.96
11:00:00 ITB 43.4
11:00:00 IVV 284.12
11:00:00 IWM 157.26
11:00:00 IYZ 29.5
11:00:00 JMEI 3.24
11:00:00 JNPR 26.18
11:00:00 JNUG 15.78
11:00:00 KLAC 109.13
11:00:00 KO 47.42
11:00:00 KTOS 12.08
11:00:00 LB 50.95
11:00:00 LBTYA 36.93
11:00:00 LDRI 24.68
11:00:00 LL 29.48
11:00:00 LMT 350.54
11:00:00 LOW 105.07
11:00:00 LRCX 190.71
11:00:00 LULU 79.44
11:00:00 LUV 59.78
11:00:00 M 26.24
11:00:00 MA 166.84
11:00:00 MARA 2.89
11:00:00 MARK 8.75
11:00:00 MDGL 140.99
11:00:00 MELI 387.47
11:00:00 MKL 1139.4
11:00:00 MMM 252.07
11:00:00 MNGA 2.36
11:00:00 MO 69.86
