time symbol vwap
5:00:00 A 73.38
5:00:00 AA 53.2
5:00:00 AABA 78.3
5:00:00 AAC 9.24
5:00:00 AAL 52.68
5:00:00 AAN 41.86
5:00:00 AAOI 32.62
5:00:00 AAP 120.43
5:00:00 AAPL 166.77
5:00:00 AAT 34.89
5:00:00 AAWW 58.15
5:00:00 AAXJ 81.12
5:00:00 AAXN 27.5
5:00:00 ABAC 2.85
5:00:00 ABAX 75.2
5:00:00 ABB 28.01
5:00:00 ABBV 118.3
5:00:00 ABC 101.13
5:00:00 ABCB 55.04
5:00:00 ABCD 7.07
5:00:00 ABEO 15.53
5:00:00 ABEOW 10.66
5:00:00 ABEV 6.82
5:00:00 ABG 74.13
5:00:00 ABIL 0.46
5:00:00 ABIO 1.74
5:00:00 ABLX 54.28
5:00:00 ABM 38.34
5:00:00 ABMD 235.28
5:00:00 ABR 8.33
5:00:00 ABT 62.93
5:00:00 ABTX 40.64
5:00:00 ABUS 5.12
5:00:00 ABX 14.41
5:00:00 ACAD 31.39
5:00:00 ACBI 17.39
5:00:00 ACC 38.28
5:00:00 ACCO 12.0
5:00:00 ACER 19.21
5:00:00 ACET 11.54
5:00:00 ACFC 10.57
5:00:00 ACGL 91.5
5:00:00 ACGLO 24.5
5:00:00 ACGLP 23.25
5:00:00 ACH 17.54
5:00:00 ACHC 34.66
5:00:00 ACHN 2.78
5:00:00 ACIA 35.26
5:00:00 ACIU 13.3
5:00:00 ACIW 23.13
5:00:00 ACLS 26.2
5:00:00 ACM 39.03
5:00:00 ACMR 5.4
5:00:00 ACN 159.71
5:00:00 ACOR 26.76
5:00:00 ACRS 23.02
5:00:00 ACRX 1.98
5:00:00 ACT 26.78
5:00:00 ACTA 15.58
5:00:00 ACU 23.8
5:00:00 ACV 22.35
5:00:00 ACWI 76.15
5:00:00 ACWV 87.06
5:00:00 ACWX 52.72
5:00:00 ACXM 27.51
5:00:00 ADAP 9.05
5:00:00 ADBE 195.96
5:00:00 ADC 47.96
5:00:00 ADES 8.16
5:00:00 ADI 91.96
5:00:00 ADM 42.62
5:00:00 ADMA 3.82
5:00:00 ADMP 3.68
5:00:00 ADMS 38.7
5:00:00 ADNT 65.33
5:00:00 ADOM 1.64
5:00:00 ADP 120.04
5:00:00 ADRE 47.28
5:00:00 ADRO 6.82
5:00:00 ADS 256.41
5:00:00 ADSK 114.8
5:00:00 ADSW 24.08
5:00:00 ADT 12.17
5:00:00 ADTN 16.1
5:00:00 ADUS 36.1
5:00:00 ADVM 7.47
5:00:00 ADXS 3.02
5:00:00 AE 45.98
5:00:00 AEB 23.97
5:00:00 AED 25.59
5:00:00 AEE 55.95
5:00:00 AEG 6.88
5:00:00 AEGN 25.17
5:00:00 AEH 25.62
5:00:00 AEHR 2.64
5:00:00 AEIS 73.94
5:00:00 AEK 26.28
5:00:00 AEL 34.56
5:00:00 AEM 47.54
5:00:00 AEMD 1.58
5:00:00 AEO 18.32
5:00:00 AEP 68.42
5:00:00 AER 54.38
5:00:00 AERI 56.77
5:00:00 AES 11.66
5:00:00 AET 188.27
5:00:00 AEZS 2.27
5:00:00 AFAM 58.06
5:00:00 AFB 12.91
5:00:00 AFG 113.76
5:00:00 AFH 20.25
5:00:00 AFL 88.92
5:00:00 AFMD 1.35
5:00:00 AFSI 12.95
5:00:00 AFSI-F 18.58
5:00:00 AFST 24.48
5:00:00 AG 6.33
5:00:00 AGCO 72.18
5:00:00 AGD 11.36
5:00:00 AGEN 3.67
5:00:00 AGFS 7.41
5:00:00 AGG 108.07
5:00:00 AGI 6.04
5:00:00 AGII 62.5
5:00:00 AGIIL 25.33
5:00:00 AGIO 79.7
5:00:00 AGLE 6.45
5:00:00 AGM 80.64
5:00:00 AGN 184.83
5:00:00 AGNC 19.07
5:00:00 AGNCB 25.66
5:00:00 AGNCN 25.38
5:00:00 AGND 44.02
5:00:00 AGO 36.04
5:00:00 AGO-F 24.48
5:00:00 AGR 48.09
5:00:00 AGRO 9.86
5:00:00 AGRX 3.33
5:00:00 AGS 18.38
5:00:00 AGTC 5.03
5:00:00 AGX 43.74
5:00:00 AGYS 12.19
5:00:00 AHGP 28.78
5:00:00 AHH 14.44
5:00:00 AHL 37.59
5:00:00 AHL-D 24.26
5:00:00 AHP 9.32
5:00:00 AHT 6.47
5:00:00 AI 10.9
5:00:00 AIA 70.94
5:00:00 AIF 15.56
5:00:00 AIG 63.98
5:00:00 AIG+ 22.02
5:00:00 AIMT 36.02
5:00:00 AINV 5.77
5:00:00 AIRG 10.12
5:00:00 AIT 73.55
5:00:00 AIV 41.09
5:00:00 AIZ 93.54
5:00:00 AJG 69.58
5:00:00 AJRD 27.62
5:00:00 AJX 13.47
5:00:00 AKAM 66.95
5:00:00 AKAO 12.38
5:00:00 AKBA 15.36
5:00:00 AKCA 22.73
5:00:00 AKER 0.25
