time symbol vwap
2:00:00 AAPL 166.3
2:00:00 ABBV 120.18
2:00:00 ABLX 54.48
2:00:00 AET 188.24
2:00:00 AIR 40.91
2:00:00 AKAO 11.2
2:00:00 ALGN 267.87
2:00:00 ALV 145.2
2:00:00 AMD 13.27
2:00:00 AMRN 3.74
2:00:00 AMZN 1422.14
2:00:00 ANTM 248.24
2:00:00 ATOS 0.62
2:00:00 ATVI 72.18
2:00:00 AZN 36.35
2:00:00 BABA 199.88
2:00:00 BAC 32.0
2:00:00 BAK 31.92
2:00:00 BIDU 250.65
2:00:00 BP 43.32
2:00:00 BTX 3.08
2:00:00 CAH 72.79
2:00:00 CALD 36.01
2:00:00 CELG 102.22
2:00:00 CI 211.31
2:00:00 CIFS 38.71
2:00:00 CNC 108.96
2:00:00 CVS 79.23
2:00:00 CVX 126.48
2:00:00 DGAZ 17.72
2:00:00 DVA 78.09
2:00:00 EEM 50.88
2:00:00 ENDP 7.24
2:00:00 ESRX 78.82
2:00:00 FB 184.61
2:00:00 FBR 17.94
2:00:00 FIT 5.3
2:00:00 FMS 57.73
2:00:00 GERN 2.5
2:00:00 GILD 87.55
2:00:00 GLD 127.7
2:00:00 GLW 34.9
2:00:00 GOL 11.53
2:00:00 GOOG 1171.91
2:00:00 GOOGL 1179.71
2:00:00 GRFS 24.85
2:00:00 HOG 52.55
2:00:00 HUM 280.0
2:00:00 HZNP 15.0
2:00:00 IBB 116.94
2:00:00 IBM 166.0
2:00:00 IMMR 9.75
2:00:00 IMMY 2.11
2:00:00 INTC 49.73
2:00:00 IWM 157.62
2:00:00 JBLU 20.55
2:00:00 JD 49.43
2:00:00 JPM 116.3
2:00:00 KEM 20.16
2:00:00 LEA 195.12
2:00:00 MBFIP 25.4
2:00:00 MCD 177.56
2:00:00 MCK 173.05
2:00:00 MET 50.9
2:00:00 MNK 20.01
2:00:00 MNRO 60.3
2:00:00 MOH 90.77
2:00:00 MRK 61.37
2:00:00 MSFT 93.34
2:00:00 MU 42.71
2:00:00 MXIM 58.9
2:00:00 MYL 45.14
2:00:00 MYSZ 2.5
2:00:00 MZOR 64.38
2:00:00 NFLX 281.67
2:00:00 NSC 148.6
2:00:00 NSPR 0.19
2:00:00 NVDA 244.21
2:00:00 OPK 4.76
2:00:00 PBR 13.62
2:00:00 PFE 39.17
2:00:00 PTI 4.82
2:00:00 QQQ 169.29
2:00:00 RAD 2.15
2:00:00 RDS.A 71.0
2:00:00 RIG 10.98
2:00:00 RIO 56.77
2:00:00 SAP 113.15
2:00:00 SBS 11.58
2:00:00 SCO 21.0
2:00:00 SHPG 146.16
2:00:00 SNAP 13.35
2:00:00 SOGO 11.29
2:00:00 SPY 283.16
2:00:00 SQ 45.07
2:00:00 SVXY 115.96
2:00:00 TEF 10.33
2:00:00 TEVA 20.83
2:00:00 TQQQ 176.7
2:00:00 TRI 47.88
2:00:00 TSEM 34.8
2:00:00 TSLA 345.77
2:00:00 TVIX 6.52
2:00:00 TWTR 25.31
2:00:00 UAL 66.68
2:00:00 UGAZ 102.53
2:00:00 UNG 27.13
2:00:00 UNH 231.25
2:00:00 UPRO 166.69
2:00:00 UVXY 11.97
2:00:00 VALE 13.08
2:00:00 VMW 124.85
2:00:00 VOD 32.11
2:00:00 VXX 30.41
2:00:00 WBA 76.97
2:00:00 WDAY 116.36
2:00:00 WUBA 83.33
2:00:00 WYNN 160.15
2:00:00 X 40.31
2:00:00 XIV 126.09
2:00:00 XLP 57.91
2:00:00 XLV 89.9
2:00:00 ZVZZT 10.01
