time symbol vwap
3:00:00 AABA 78.05
3:00:00 AAL 52.2
3:00:00 AAPL 166.07
3:00:00 ABBV 120.31
3:00:00 ABEO 16.0
3:00:00 ABLX 54.5
3:00:00 AET 189.16
3:00:00 AGN 185.54
3:00:00 AKAO 11.47
3:00:00 AKS 6.52
3:00:00 ALDR 14.6
3:00:00 ALGN 269.61
3:00:00 ALV 145.35
3:00:00 AMAT 54.42
3:00:00 AMBA 47.67
3:00:00 AMD 13.21
3:00:00 AMRN 3.66
3:00:00 AMZN 1410.53
3:00:00 ANTM 243.39
3:00:00 APTO 3.08
3:00:00 AR 19.85
3:00:00 ASML 203.44
3:00:00 AVGO 244.0
3:00:00 AVXS 115.42
3:00:00 AXP 99.38
3:00:00 AZN 36.29
3:00:00 BA 337.73
3:00:00 BABA 199.29
3:00:00 BC 61.76
3:00:00 BCS 11.43
3:00:00 BIDU 250.94
3:00:00 BIOC 0.37
3:00:00 BITA 36.31
3:00:00 BLDP 3.92
3:00:00 BTX 3.09
3:00:00 BZUN 38.98
3:00:00 C 79.6
3:00:00 CALD 36.05
3:00:00 CANF 2.5
3:00:00 CBAY 11.3
3:00:00 CGNX 64.66
3:00:00 CI 211.62
3:00:00 CIFS 39.41
3:00:00 CLF 7.33
3:00:00 CMG 327.41
3:00:00 CMRX 4.57
3:00:00 CNC 105.76
3:00:00 CNHI 14.9
3:00:00 CRBP 9.99
3:00:00 CRSP 43.29
3:00:00 CSCO 42.89
3:00:00 CVS 78.29
3:00:00 CX 8.14
3:00:00 CYH 5.56
3:00:00 CYTR 1.96
3:00:00 DDD 10.28
3:00:00 DGAZ 17.46
3:00:00 DHR 100.25
3:00:00 DIA 262.09
3:00:00 DIS 111.3
3:00:00 DPS 116.76
3:00:00 DRIP 10.87
3:00:00 DSLV 22.6
3:00:00 DUST 21.55
3:00:00 DVMT 74.45
3:00:00 DWT 10.94
3:00:00 EBAY 40.69
3:00:00 EDZ 7.15
3:00:00 ESRX 76.6
3:00:00 EXTR 14.58
3:00:00 F 11.08
3:00:00 FB 183.98
3:00:00 FBR 17.87
3:00:00 FCSC 0.74
3:00:00 FMC 90.52
3:00:00 FSCT 32.13
3:00:00 FXE 119.5
3:00:00 GE 16.1
3:00:00 GERN 2.46
3:00:00 GFA 10.92
3:00:00 GILD 87.99
3:00:00 GOOG 1169.79
3:00:00 GOOGL 1178.66
3:00:00 GPOR 11.81
3:00:00 GRFS 24.82
3:00:00 GS 271.49
3:00:00 GSUM 13.28
3:00:00 HCA 104.76
3:00:00 HD 203.12
3:00:00 HMNY 9.5
3:00:00 HOG 52.24
3:00:00 HTHT 148.24
3:00:00 HUBS 96.38
3:00:00 HUM 275.24
3:00:00 IBB 116.72
3:00:00 IBM 165.91
3:00:00 ICL 4.33
3:00:00 IGF 45.01
3:00:00 IMMY 2.49
3:00:00 INTC 49.59
3:00:00 IRBT 90.18
3:00:00 ISRG 435.85
3:00:00 ITUB 16.25
3:00:00 ITUS 4.03
3:00:00 IWM 157.91
3:00:00 JBL 25.96
3:00:00 JD 49.24
3:00:00 JNJ 142.86
3:00:00 JPM 115.29
3:00:00 KOLD 30.96
3:00:00 KT 15.41
3:00:00 LITE 44.44
3:00:00 LMT 348.02
3:00:00 LTBR 2.53
3:00:00 MA 166.17
3:00:00 MBFIP 25.0
3:00:00 MBVX 0.59
3:00:00 MCD 177.0
3:00:00 MET 51.62
3:00:00 MJX 36.04
3:00:00 MNRO 57.3
3:00:00 MO 69.5
3:00:00 MOBL 4.75
3:00:00 MOH 87.94
3:00:00 MOMO 31.01
3:00:00 MOS 27.61
3:00:00 MRK 61.08
3:00:00 MRO 18.53
3:00:00 MSFT 93.46
3:00:00 MTL 5.15
3:00:00 MTUM 111.53
3:00:00 MU 42.63
3:00:00 MUA 14.02
3:00:00 MXIM 59.8
3:00:00 MYL 44.66
3:00:00 MYSZ 2.47
3:00:00 NFLX 279.52
3:00:00 NICE 91.53
3:00:00 NKE 67.39
3:00:00 NSPR 0.19
3:00:00 NTES 323.31
3:00:00 NTNX 31.11
3:00:00 NVDA 242.45
3:00:00 OLED 160.38
3:00:00 OSTK 75.91
3:00:00 PAGS 27.71
3:00:00 PBR 13.62
3:00:00 PCAR 76.0
3:00:00 PE 25.74
3:00:00 PFE 38.31
3:00:00 PG 86.72
3:00:00 PII 125.01
3:00:00 PMT 16.11
3:00:00 PPC 29.68
3:00:00 PPLT 95.1
3:00:00 PRGO 90.64
3:00:00 PSTI 1.48
3:00:00 PTI 4.84
3:00:00 PYPL 83.56
3:00:00 QD 13.48
3:00:00 QQQ 169.24
3:00:00 QRVO 68.0
3:00:00 QTEC 77.99
3:00:00 RAD 2.11
3:00:00 RBS 8.41
3:00:00 REN 30.18
3:00:00 REVG 29.82
3:00:00 RGC 22.81
3:00:00 RIG 10.99
3:00:00 ROBO 45.68
3:00:00 ROKU 41.45
3:00:00 RRC 15.11
3:00:00 RTN 209.16
3:00:00 SAP 113.62
3:00:00 SBS 11.47
3:00:00 SCHD 53.6
3:00:00 SDS 36.43
3:00:00 SHPG 145.68
3:00:00 SINA 117.4
3:00:00 SKX 40.18
3:00:00 SLNO 1.75
3:00:00 SMG 99.97
3:00:00 SODA 77.83
3:00:00 SOGO 11.18
3:00:00 SPXL 52.48
3:00:00 SPY 283.33
3:00:00 SQQQ 16.84
3:00:00 SRNE 7.8
3:00:00 STMP 202.05
3:00:00 SVXY 116.62
3:00:00 SWN 4.69
3:00:00 TCPC 15.22
3:00:00 TEAM 54.1
3:00:00 TECL 135.51
3:00:00 TEUM 2.15
3:00:00 TEVA 20.28
3:00:00 TLT 122.35
3:00:00 TQQQ 176.15
3:00:00 TRI 48.0
3:00:00 TRXC 1.86
3:00:00 TSEM 34.82
3:00:00 TSLA 345.88
3:00:00 TTWO 118.63
3:00:00 TWTR 24.98
3:00:00 TXN 110.87
3:00:00 TXT 60.18
3:00:00 UAL 66.85
3:00:00 UGAZ 105.32
3:00:00 UNG 27.37
3:00:00 UNH 232.94
3:00:00 USCR 83.65
3:00:00 USLV 12.03
3:00:00 UVXY 11.75
3:00:00 V 124.2
3:00:00 VEEV 61.05
3:00:00 VIPS 16.86
3:00:00 VLO 95.38
3:00:00 VMW 124.12
3:00:00 VRX 18.75
3:00:00 VSTM 3.82
3:00:00 VUG 150.05
3:00:00 VXX 30.38
3:00:00 WB 130.04
3:00:00 WBA 77.33
3:00:00 WDAY 116.63
3:00:00 WHLR 6.66
3:00:00 WTW 61.12
3:00:00 WYNN 160.01
3:00:00 X 40.84
3:00:00 XBI 96.12
3:00:00 XIV 125.45
3:00:00 XLI 79.76
3:00:00 XLK 68.13
3:00:00 XLV 89.55
3:00:00 XNET 15.02
3:00:00 XOM 87.5
3:00:00 XSPA 1.22
3:00:00 YINN 48.84
3:00:00 YTRA 7.02
3:00:00 YY 134.88
3:00:00 ZVZZT 9.99
