time symbol vwap
10:00:00 A 73.12
10:00:00 AA 52.74
10:00:00 AAAP 82.11
10:00:00 AABA 78.38
10:00:00 AAL 52.66
10:00:00 AAN 42.02
10:00:00 AAOI 32.91
10:00:00 AAON 36.05
10:00:00 AAP 119.17
10:00:00 AAPL 166.8
10:00:00 AAT 34.85
10:00:00 AAU 0.87
10:00:00 AAV 3.32
10:00:00 AAWW 57.41
10:00:00 AAXJ 81.29
10:00:00 AAXN 27.5
10:00:00 AB 27.6
10:00:00 ABAC 2.84
10:00:00 ABAX 74.18
10:00:00 ABB 28.02
10:00:00 ABBV 116.27
10:00:00 ABC 102.7
10:00:00 ABCB 55.05
10:00:00 ABCD 7.14
10:00:00 ABDC 7.99
10:00:00 ABEO 15.34
10:00:00 ABEV 6.84
10:00:00 ABG 74.38
10:00:00 ABIL 0.47
10:00:00 ABIO 1.8
10:00:00 ABLX 54.06
10:00:00 ABM 38.37
10:00:00 ABMD 234.87
10:00:00 ABR 8.2
10:00:00 ABT 62.53
10:00:00 ABTX 40.63
10:00:00 ABX 14.32
10:00:00 ACAD 30.72
10:00:00 ACBI 17.7
10:00:00 ACC 38.26
10:00:00 ACCO 11.97
10:00:00 ACER 19.28
10:00:00 ACET 11.53
10:00:00 ACFC 10.53
10:00:00 ACGL 90.97
10:00:00 ACGLO 24.23
10:00:00 ACGLP 23.08
10:00:00 ACH 17.47
10:00:00 ACHC 34.3
10:00:00 ACHN 2.77
10:00:00 ACIA 35.64
10:00:00 ACIU 13.52
10:00:00 ACIW 23.07
10:00:00 ACLS 26.26
10:00:00 ACM 39.14
10:00:00 ACN 159.98
10:00:00 ACNB 30.29
10:00:00 ACOR 26.47
10:00:00 ACRS 22.55
10:00:00 ACSF 10.79
10:00:00 ACST 1.16
10:00:00 ACTA 15.54
10:00:00 ACTG 3.88
10:00:00 ACU 24.27
10:00:00 ACV 22.23
10:00:00 ACWI 76.22
10:00:00 ACWV 87.01
10:00:00 ACWX 52.73
10:00:00 ACXM 27.66
10:00:00 ADAP 8.83
10:00:00 ADBE 197.08
10:00:00 ADC 47.88
10:00:00 ADES 8.13
10:00:00 ADI 91.7
10:00:00 ADM 42.55
10:00:00 ADMA 3.81
10:00:00 ADMP 3.68
10:00:00 ADMS 39.33
10:00:00 ADNT 66.1
10:00:00 ADOM 1.64
10:00:00 ADP 120.89
10:00:00 ADRE 47.54
10:00:00 ADRO 6.73
10:00:00 ADS 255.34
10:00:00 ADSK 115.27
10:00:00 ADSW 24.26
10:00:00 ADT 12.29
10:00:00 ADTN 16.12
10:00:00 ADUS 36.0
10:00:00 ADVM 7.91
10:00:00 ADX 15.83
10:00:00 ADXS 3.04
10:00:00 AE 45.6
10:00:00 AED 25.56
10:00:00 AEE 56.2
10:00:00 AEG 6.87
10:00:00 AEGN 25.32
10:00:00 AEH 25.56
10:00:00 AEHR 2.66
10:00:00 AEIS 72.37
10:00:00 AEL 33.98
10:00:00 AEM 47.35
10:00:00 AEMD 1.58
10:00:00 AEO 18.37
10:00:00 AEP 68.61
10:00:00 AER 54.25
10:00:00 AERI 56.19
10:00:00 AES 11.63
10:00:00 AET 188.73
10:00:00 AEUA 36.77
10:00:00 AEZS 2.25
10:00:00 AFAM 58.44
10:00:00 AFB 12.93
10:00:00 AFG 113.39
10:00:00 AFI 15.87
10:00:00 AFL 88.71
10:00:00 AFMD 1.32
10:00:00 AFSI 12.99
10:00:00 AFSI-D 18.77
10:00:00 AFSI-E 19.31
10:00:00 AFSS 23.51
10:00:00 AFST 24.58
10:00:00 AFT 16.26
10:00:00 AG 6.05
10:00:00 AGCO 73.0
10:00:00 AGD 11.23
10:00:00 AGEN 3.64
10:00:00 AGFS 7.58
10:00:00 AGG 107.98
10:00:00 AGGE 19.22
10:00:00 AGGY 50.03
10:00:00 AGI 6.0
10:00:00 AGII 61.92
10:00:00 AGIIL 25.3
10:00:00 AGIO 80.74
10:00:00 AGLE 6.94
10:00:00 AGM 80.87
10:00:00 AGN 184.67
10:00:00 AGNC 19.09
10:00:00 AGNCN 25.28
10:00:00 AGO 35.93
10:00:00 AGQ 34.4
10:00:00 AGR 48.33
10:00:00 AGRO 9.73
10:00:00 AGRX 3.28
10:00:00 AGS 19.47
10:00:00 AGTC 5.13
10:00:00 AGX 44.13
10:00:00 AGYS 12.15
10:00:00 AGZD 48.25
10:00:00 AHGP 28.73
10:00:00 AHH 14.34
10:00:00 AHL 37.58
10:00:00 AHL-C 25.49
10:00:00 AHP 9.2
10:00:00 AHPA 9.94
10:00:00 AHT 6.44
10:00:00 AHT-F 23.55
10:00:00 AHT-G 23.48
10:00:00 AI 10.78
10:00:00 AIA 71.02
10:00:00 AIEQ 27.59
10:00:00 AIF 15.55
10:00:00 AIG 63.4
10:00:00 AIG+ 21.59
10:00:00 AIMC 52.86
10:00:00 AIMT 35.49
10:00:00 AIN 63.0
10:00:00 AINV 5.72
10:00:00 AIR 40.0
10:00:00 AIRG 10.2
10:00:00 AIT 74.54
10:00:00 AIV 41.03
10:00:00 AIZ 92.3
10:00:00 AJG 69.6
10:00:00 AJRD 28.08
10:00:00 AKAM 66.63
10:00:00 AKAO 12.33
10:00:00 AKBA 15.08
10:00:00 AKCA 23.59
10:00:00 AKER 0.25
10:00:00 AKG 0.93
10:00:00 AKO.B 28.93
10:00:00 AKR 24.45
10:00:00 AKRX 32.23
10:00:00 AKS 5.52
10:00:00 AKTS 5.78
10:00:00 AKTX 2.84
10:00:00 AL 48.88
10:00:00 ALB 111.53
10:00:00 ALBO 36.31
10:00:00 ALCO 26.95
10:00:00 ALDR 14.37
10:00:00 ALDW 16.8
10:00:00 ALDX 7.58
10:00:00 ALE 71.98
10:00:00 ALEX 26.98
10:00:00 ALG 117.48
10:00:00 ALGN 269.2
10:00:00 ALGT 159.41
10:00:00 ALK 64.25
10:00:00 ALKS 57.51
10:00:00 ALL 98.73
10:00:00 ALL-F 26.02
10:00:00 ALLE 85.58
10:00:00 ALLT 4.97
10:00:00 ALLY 30.89
10:00:00 ALLY-A 25.92
10:00:00 ALNY 131.36
10:00:00 ALOG 83.75
10:00:00 ALPN 11.12
10:00:00 ALQA 2.14
10:00:00 ALRM 37.57
10:00:00 ALRN 9.26
10:00:00 ALSK 2.2
10:00:00 ALSN 44.75
10:00:00 ALTR 25.74
10:00:00 ALV 149.29
10:00:00 ALX 362.7
10:00:00 ALXN 122.63
10:00:00 AM 31.01
10:00:00 AMAG 14.43
10:00:00 AMAT 53.48
10:00:00 AMBA 50.91
10:00:00 AMBC 16.32
10:00:00 AMBR 7.26
10:00:00 AMC 12.57
10:00:00 AMCN 1.19
