time symbol vwap
12:00:00 AAPL 167.1
12:00:00 AKS 5.61
12:00:00 ALGN 260.89
12:00:00 ALXN 122.07
12:00:00 AMD 13.0
12:00:00 AMGN 191.02
12:00:00 AMTD 55.08
12:00:00 AMZN 1436.69
12:00:00 AOBC 12.12
12:00:00 ATVI 72.42
12:00:00 AVGR 0.17
12:00:00 BABA 199.89
12:00:00 BIDU 244.36
12:00:00 BLCM 4.71
12:00:00 BOTZ 26.72
12:00:00 BZUN 37.85
12:00:00 CAA 56.89
12:00:00 CERS 4.43
12:00:00 CLM 15.98
12:00:00 CSCO 42.03
12:00:00 CTXS 92.59
12:00:00 DGAZ 18.53
12:00:00 EA 126.79
12:00:00 EEM 50.62
12:00:00 FB 187.18
12:00:00 FLIR 51.97
12:00:00 FORD 2.45
12:00:00 FTFT 3.11
12:00:00 FXI 52.02
12:00:00 GOOG 1163.11
12:00:00 GOOGL 1177.7
12:00:00 IAG 5.75
12:00:00 ICHR 32.61
12:00:00 ICPT 68.18
12:00:00 ILMN 243.5
12:00:00 JNPR 25.85
12:00:00 KNX 48.75
12:00:00 MDR 8.92
12:00:00 MLAB 137.4
12:00:00 MRO 17.99
12:00:00 MYSZ 2.11
12:00:00 NFLX 278.26
12:00:00 NLNK 8.4
12:00:00 NTLA 25.51
12:00:00 NVDA 242.92
12:00:00 OSTK 70.26
12:00:00 QQQ 168.74
12:00:00 QRVO 70.07
12:00:00 RHT 132.95
12:00:00 SBGL 4.68
12:00:00 SFLY 62.66
12:00:00 SGH 36.58
12:00:00 SPY 281.6
12:00:00 SQ 45.27
12:00:00 SYK 162.51
12:00:00 TLT 122.01
12:00:00 TOL 47.5
12:00:00 TTWO 119.99
12:00:00 TWTR 25.62
12:00:00 UNH 237.8
12:00:00 VMO 11.9
12:00:00 WATT 19.83
12:00:00 WMT 107.62
12:00:00 WYNN 172.45
12:00:00 X 39.64
12:00:00 YUMC 46.17
12:00:00 ZVZZT 9.99
